"","meanImp","medianImp","minImp","maxImp","normHits","decision","Execution","Variable"
"LogIC50...1",5.97143243459521,6.38965848156057,0,8.48036067178285,0.924784956991398,"Confirmed",1,"LogIC50"
"IC50...2",5.9111617973934,6.31378686488817,0,8.24232720605162,0.921984396879376,"Confirmed",1,"IC50"
"STRC...3",3.82889868359643,4.08392396438223,-1.00100150250438,6.00024283871388,0.735547109421884,"Confirmed",1,"STRC"
"PRSS57",2.91032756210216,3.09615304976718,0,4.77662311770054,0.53370674134827,"Confirmed",1,"PRSS57"
"MIR3187",2.90690228555923,3.1034737601358,0,4.85882151930127,0.534506901380276,"Confirmed",1,"MIR3187"
"PLK5",2.89958960765919,3.08425836262826,0,4.70812068066051,0.538507701540308,"Confirmed",1,"PLK5"
"LogIC50...7",5.80153531008422,6.21382083234939,0,8.04312269194267,0.920784156831366,"Confirmed",2,"LogIC50"
"IC50...8",5.76396767275218,6.16183340994993,0,7.93545892855455,0.917983596719344,"Confirmed",2,"IC50"
"IC50...9",8.53456696934647,9.12099613052868,0,11.0102594900019,0.92998599719944,"Confirmed",3,"IC50"
"RNF126",5.57795766468131,5.94625870402208,0,7.74225405628622,0.835367073414683,"Confirmed",3,"RNF126"
"MEX3D",5.58310940082458,5.96338217875147,0,7.93201319587481,0.833366673334667,"Confirmed",3,"MEX3D"
"CSNK1G2.AS1",5.58267444764608,5.95142313138039,0,7.93164044417632,0.836167233446689,"Confirmed",3,"CSNK1G2.AS1"
"LogIC50...13",6.37275978167659,6.83854626672177,0,8.77874368887342,0.919836956521739,"Confirmed",4,"LogIC50"
"IC50...14",6.33304654613431,6.79407044262979,0,8.90288958763219,0.919497282608696,"Confirmed",4,"IC50"
"MADCAM1...15",3.06102568967415,3.2775889470276,0,4.77376771202958,0.56148097826087,"Confirmed",4,"MADCAM1"
"HCN2",3.0745156778566,3.27916258641474,0,5.07827401157529,0.548913043478261,"Confirmed",4,"HCN2"
"FGF22",3.04847990360091,3.25301068370035,0,4.86973959206631,0.543817934782609,"Confirmed",4,"FGF22"
"MIR1909...18",3.06448593814237,3.27987834615923,0,5.15177129581393,0.556725543478261,"Confirmed",4,"MIR1909"
"IZUMO4",3.06726009832269,3.27922150996355,-1.00100150250438,4.85411271332911,0.55570652173913,"Confirmed",4,"IZUMO4"
"GNG7",3.06032434422899,3.2727025838873,0,4.99408029025297,0.551630434782609,"Confirmed",4,"GNG7"
"TLE6",3.05157247651233,3.25819603756921,0,4.96070083537642,0.550271739130435,"Confirmed",4,"TLE6"
"NCLN",3.07848806485402,3.29095810793543,-1.00100150250438,5.44868469877969,0.558084239130435,"Confirmed",4,"NCLN"
"UHRF1...23",3.05790190937494,3.25780920278311,0,4.87376214692208,0.550611413043478,"Confirmed",4,"UHRF1"
"RANBP3...24",3.08281777161808,3.29857474846761,0,4.91451333690611,0.551290760869565,"Confirmed",4,"RANBP3"
"DENND1C",3.07407893337265,3.28081559786957,-1.00100150250438,4.81686159154776,0.556725543478261,"Confirmed",4,"DENND1C"
"IC50...26",7.2085319602953,7.69243678472114,0,9.84550416122645,0.930572472594397,"Confirmed",5,"IC50"
"TUBA1A",2.47808992116319,2.63073459191499,-0.479044681134258,4.20101240027182,0.533901745838408,"Confirmed",5,"TUBA1A"
"STRC...28",4.81612794866096,5.11974446517527,-1.00100150250438,7.00578568018436,0.839423467316281,"Confirmed",5,"STRC"
"PPIP5K1P1.CATSPER2",4.79990072144914,5.10898507681649,-1.00100150250438,7.07641019810524,0.831506293138449,"Confirmed",5,"PPIP5K1P1.CATSPER2"
"SIRT6",4.11455139696105,4.37944641565573,0,6.34731144074442,0.758830694275274,"Confirmed",5,"SIRT6"
"TMIGD2",4.1095809012236,4.37355801999909,0,6.09924429178171,0.753755582622818,"Confirmed",5,"TMIGD2"
"KDM4B",4.11023902564079,4.37160038382987,0,6.24885776850529,0.759236703207471,"Confirmed",5,"KDM4B"
