"","Variable","Count"
"1","ABCA7",1
"2","ADAT3",1
"3","CACTIN",2
"4","CATSPER2",1
"5","CLPP",1
"6","CNN2",1
"7","CSNK1G2.AS1",1
"8","DAPK3",1
"9","DENND1C",1
"10","EBI3",1
"11","FAM174C",1
"12","FEM1A",1
"13","FGF22",1
"14","FUT3",1
"15","FUT5",1
"16","GAMT",1
"17","GNG7",1
"18","GTF2F1",1
"19","HCN2",1
"20","HSD11B1L",1
"21","IC50",9
"22","IZUMO4",1
"23","KDM4B",1
"24","KLF16",2
"25","LINC01775",1
"26","LMNB2",1
"27","LogIC50",6
"28","LONP1",1
"29","MADCAM1",2
"30","MEX3D",1
"31","MIR1909",2
"32","MIR3187",1
"33","MIR3940",1
"34","MIR7108",1
"35","MKNK2",1
"36","NCLN",1
"37","NDUFA11",1
"38","NRTN",1
"39","PEAK3",1
"40","PLK5",1
"41","PPIP5K1P1.CATSPER2",1
"42","PRSS57",1
"43","RANBP3",2
"44","RAX2",2
"45","REEP6",1
"46","RNF126",1
"47","SAFB",1
"48","SF3A2",1
"49","SIRT6",1
"50","SLC25A23",1
"51","SNORD37",1
"52","SPPL2B",1
"53","STRC",2
"54","TLE6",1
"55","TMEM259",1
"56","TMIGD2",1
"57","TNFAIP8L1",2
"58","TPGS1",1
"59","TUBA1A",1
"60","UHRF1",2
"61","VMAC",1
