"","meanImp","medianImp","minImp","maxImp","normHits","decision","Execution","Variable"
"IC50...1",6.11765441071879,6.89643065177111,0,8.62938406737395,0.869739478957916,"Confirmed",1,"IC50"
"STRC",4.05345192856298,4.53351688557104,0,6.3299851893916,0.709418837675351,"Confirmed",1,"STRC"
"LogIC50...3",6.46537338946658,7.11708596417831,0,9.06039596620607,0.895791583166333,"Confirmed",2,"LogIC50"
"IC50...4",6.37707729623032,7.03441089309356,0,8.46065072984801,0.895791583166333,"Confirmed",2,"IC50"
"CATSPER2",4.20130049453207,4.64303606901459,-1.00100150250438,6.33268630545352,0.763527054108216,"Confirmed",2,"CATSPER2"
"FAM174C",3.49355723195757,3.81280154643589,0,5.4039968595379,0.655310621242485,"Confirmed",2,"FAM174C"
"LOC100288123",3.47780692820942,3.81956609866307,0,5.32372145255051,0.677354709418838,"Confirmed",2,"LOC100288123"
"KLF16",3.48746380144569,3.82949301058382,0,5.3748823950419,0.691382765531062,"Confirmed",2,"KLF16"
"MRPL54",3.46866542958747,3.81358428680077,0,5.4365178097345,0.665330661322645,"Confirmed",2,"MRPL54"
"ATCAY",3.4976844106126,3.8527975583719,-1.00100150250438,5.35216633009162,0.683366733466934,"Confirmed",2,"ATCAY"
"SNORD37...11",3.48828740026882,3.83968347093349,0,5.38458050081003,0.673346693386774,"Confirmed",2,"SNORD37"
"LogIC50...12",5.62125287543707,6.41038854961902,0,8.03917411380914,0.860759493670886,"Confirmed",3,"LogIC50"
"IC50...13",5.61462443876388,6.41745886720643,0,7.95665474773182,0.858227848101266,"Confirmed",3,"IC50"
"CKMT1A",3.74898605184137,4.24839161340083,0,5.91640365106504,0.744303797468354,"Confirmed",3,"CKMT1A"
"C19orf25",3.1123997475738,3.53288275840831,0,5.14413825982587,0.645569620253165,"Confirmed",3,"C19orf25"
"PLK5...16",3.09871237478153,3.53347547290385,0,4.83690584713943,0.653164556962025,"Confirmed",3,"PLK5"
"LINC01775",3.0357233109368,3.42712782180401,0,4.96447164372706,0.620253164556962,"Confirmed",3,"LINC01775"
"THOP1...18",3.09163574760705,3.5325566098121,-1.00100150250438,4.92207378536505,0.648101265822785,"Confirmed",3,"THOP1"
"ZNF554",3.06950230456287,3.4861629667289,0,4.93771252452837,0.643037974683544,"Confirmed",3,"ZNF554"
"CACTIN...20",3.09868361372511,3.51290524335641,-1.00100150250438,4.9940414082515,0.630379746835443,"Confirmed",3,"CACTIN"
"MATK",3.05275806255658,3.45874719300243,0,4.68531336940881,0.627848101265823,"Confirmed",3,"MATK"
"NRTN",3.08077284752609,3.47030412752107,0,4.89895144896792,0.627848101265823,"Confirmed",3,"NRTN"
"LOC101928844",3.03700269764784,3.43560759526252,0,4.86084841161143,0.635443037974683,"Confirmed",3,"LOC101928844"
"LogIC50...24",5.93608924167055,6.50175630551714,-1.00100150250438,7.97611145557406,0.895791583166333,"Confirmed",4,"LogIC50"
"IC50...25",5.88111808827991,6.44654964075007,0,7.98611240086744,0.889779559118236,"Confirmed",4,"IC50"
"SBNO2",3.22348405786874,3.5339592770175,0,4.91664821258165,0.615230460921844,"Confirmed",4,"SBNO2"
"UQCR11",3.20050190732445,3.49582575796762,0,4.73797045243104,0.609218436873748,"Confirmed",4,"UQCR11"
"SCAMP4",3.19768512039342,3.51405639736901,0,4.88821463358297,0.605210420841683,"Confirmed",4,"SCAMP4"
"CACTIN...29",3.21129769583892,3.54787791520202,0,4.94470098366376,0.617234468937876,"Confirmed",4,"CACTIN"
"TJP3...30",3.26706085143324,3.5685567885232,0,4.82859434077475,0.607214428857715,"Confirmed",4,"TJP3"
"RANBP3",3.21779339811299,3.51420614581658,-1.00100150250438,5.32168760085568,0.609218436873748,"Confirmed",4,"RANBP3"
"LOC100128568",3.22225627091047,3.50346018732806,-1.00100150250438,5.0191113063853,0.607214428857715,"Confirmed",4,"LOC100128568"
"LogIC50...33",5.86409916669864,6.36049931960752,0,7.91140338429545,0.901803607214429,"Confirmed",5,"LogIC50"
"IC50...34",5.82778447409923,6.32071262810428,0,8.0208942590111,0.909819639278557,"Confirmed",5,"IC50"
"LogIC50...35",6.53339890466784,7.13216576605371,0,8.95380546493477,0.907815631262525,"Confirmed",6,"LogIC50"
"IC50...36",6.43306333925317,7.03981791963439,0,8.85909001911432,0.907815631262525,"Confirmed",6,"IC50"
"GRIN3B",3.44493220238895,3.75978120054506,-1.00100150250438,5.164509785414,0.619238476953908,"Confirmed",6,"GRIN3B"
"PLK5...38",3.45345634680738,3.7431679958534,-1.00100150250438,5.0072059524436,0.625250501002004,"Confirmed",6,"PLK5"
"IZUMO4",3.46862430719349,3.73557898278119,0,5.4255240624131,0.62124248496994,"Confirmed",6,"IZUMO4"
"ZNF556",3.488491525669,3.8095975481587,0,5.61656701698845,0.6312625250501,"Confirmed",6,"ZNF556"
"TBXA2R",3.49283277755336,3.82480111411318,-1.00100150250438,5.31597373845808,0.619238476953908,"Confirmed",6,"TBXA2R"
"SNORD37...42",3.48756117254008,3.7972883998546,0,5.2805637384173,0.625250501002004,"Confirmed",6,"SNORD37"
"ADGRE4P",3.52116518462764,3.81705792932974,0,5.25371894454198,0.633266533066132,"Confirmed",6,"ADGRE4P"
"LogIC50...44",6.11215117013798,6.56503425446791,0,8.16000295504759,0.915831663326653,"Confirmed",7,"LogIC50"
"IC50...45",6.02086743091901,6.45254411476806,0,7.99089466713445,0.917835671342685,"Confirmed",7,"IC50"
"TLE5",3.31484002292396,3.53699555722832,0,4.93691636118079,0.613226452905812,"Confirmed",7,"TLE5"
"MIR637",3.31323110883112,3.52685563381633,-1.00100150250438,4.9889013955276,0.619238476953908,"Confirmed",7,"MIR637"
"SLC25A41",3.29960614163006,3.51593562366875,0,4.9675053245853,0.607214428857715,"Confirmed",7,"SLC25A41"
"MBD3L2",3.30396565773825,3.54447815975183,0,4.77190165473041,0.609218436873748,"Confirmed",7,"MBD3L2"
"ZNF557",3.29726764932337,3.52327332633129,0,4.78285264978226,0.613226452905812,"Confirmed",7,"ZNF557"
"LogIC50...51",5.88125503201277,6.58218123902996,0,7.9761665150142,0.885771543086172,"Confirmed",8,"LogIC50"
"IC50...52",5.81077032631049,6.51539177625731,0,7.94292845351019,0.885771543086172,"Confirmed",8,"IC50"
"PPIP5K1P1.CATSPER2",3.73353017214791,4.12347418966173,0,5.58136743246855,0.725450901803607,"Confirmed",8,"PPIP5K1P1.CATSPER2"
"LogIC50...54",5.38318539414238,6.02214971367289,0,7.40641064455304,0.881763527054108,"Confirmed",9,"LogIC50"
"IC50...55",5.38273199495994,5.99389391152624,0,7.55181097802048,0.88376753507014,"Confirmed",9,"IC50"
"LSM7",6.15469539915514,6.76790320588257,0,8.7002338795038,0.759519038076152,"Confirmed",10,"LSM7"
"THOP1...57",6.16972724369587,6.82323001334143,0,8.5504780510516,0.755511022044088,"Confirmed",10,"THOP1"
"TJP3...58",6.11315195022884,6.67750456055265,0,8.82589927153405,0.755511022044088,"Confirmed",10,"TJP3"
