"","Variable","Count"
"1","ADGRE4P",1
"2","ATCAY",1
"3","C19orf25",1
"4","CACTIN",2
"5","CATSPER2",1
"6","CKMT1A",1
"7","FAM174C",1
"8","GRIN3B",1
"9","IC50",9
"10","IZUMO4",1
"11","KLF16",1
"12","LINC01775",1
"13","LOC100128568",1
"14","LOC100288123",1
"15","LOC101928844",1
"16","LogIC50",8
"17","LSM7",1
"18","MATK",1
"19","MBD3L2",1
"20","MIR637",1
"21","MRPL54",1
"22","NRTN",1
"23","PLK5",2
"24","PPIP5K1P1.CATSPER2",1
"25","RANBP3",1
"26","SBNO2",1
"27","SCAMP4",1
"28","SLC25A41",1
"29","SNORD37",2
"30","STRC",1
"31","TBXA2R",1
"32","THOP1",2
"33","TJP3",2
"34","TLE5",1
"35","UQCR11",1
"36","ZNF554",1
"37","ZNF556",1
"38","ZNF557",1
