"","meanImp","medianImp","minImp","maxImp","normHits","decision","Execution","Variable"
"LogIC50...1",6.14859414346402,6.55678621603924,0,8.71046659480156,0.927958833619211,"Confirmed",1,"LogIC50"
"IC50...2",6.11633029393264,6.53672819861454,0,8.38708390413071,0.927530017152659,"Confirmed",1,"IC50"
"CKMT1A...3",3.89245119044145,4.12422633331282,-1.00100150250438,6.06606765727993,0.737564322469983,"Confirmed",1,"CKMT1A"
"BSG",2.98188188154068,3.17172870617119,0,4.90013567093297,0.552315608919382,"Confirmed",1,"BSG"
"WDR18...5",2.98168577457382,3.18855257844074,0,4.64118024992558,0.554030874785592,"Confirmed",1,"WDR18"
"MIR4321",2.98668185581915,3.18117600527747,0,4.76314735914769,0.551457975986278,"Confirmed",1,"MIR4321"
"GADD45B",2.98008519462954,3.15161526263085,0,4.75238440266756,0.55188679245283,"Confirmed",1,"GADD45B"
"GNG7",2.98935684742816,3.16472456805202,0,4.90385797494664,0.555317324185249,"Confirmed",1,"GNG7"
"TJP3",2.98166322030699,3.18249638311083,0,4.54938433247142,0.552315608919382,"Confirmed",1,"TJP3"
"ATCAY",3.00110872815256,3.18826408034076,0,4.79177310173753,0.552744425385935,"Confirmed",1,"ATCAY"
"SNORD37",2.97501704078938,3.17917666747734,-1.00100150250438,4.88575344862487,0.549313893653516,"Confirmed",1,"SNORD37"
"MIR4747",2.99098102785383,3.19431460734435,-1.00100150250438,4.89782038932155,0.569468267581475,"Confirmed",1,"MIR4747"
"CATSPERD...13",2.99189347376324,3.16747282695889,0,4.76693122139406,0.55917667238422,"Confirmed",1,"CATSPERD"
"SLC25A41",2.98666786817292,3.1773378731713,0,4.71554716809292,0.553602058319039,"Confirmed",1,"SLC25A41"
"LogIC50...15",6.15417161946,6.56339754060802,0,8.44760605141906,0.927235772357724,"Confirmed",2,"LogIC50"
"IC50...16",6.11886421790144,6.54712988617449,0,8.42496682239937,0.926422764227642,"Confirmed",2,"IC50"
"STRC",3.90046258772486,4.16625595888881,0,6.24776049931081,0.748780487804878,"Confirmed",2,"STRC"
"CNN2",2.97835899665153,3.16048929806466,0,4.77014606769765,0.550406504065041,"Confirmed",2,"CNN2"
"CIRBP.AS1",2.98223201612021,3.16514574357761,-1.00100150250438,4.7930546723117,0.552845528455285,"Confirmed",2,"CIRBP.AS1"
"PLK5",2.98480527333374,3.16512333078484,0,4.81916830141358,0.55609756097561,"Confirmed",2,"PLK5"
"NCLN",2.98856682205359,3.17300161641794,0,4.83564776218824,0.554065040650407,"Confirmed",2,"NCLN"
"YJU2",2.97960466750658,3.15257702836296,-1.00100150250438,4.6520932343668,0.560975609756098,"Confirmed",2,"YJU2"
"UBXN6...23",2.96594659126919,3.14889646751759,0,4.80627855913402,0.552032520325203,"Confirmed",2,"UBXN6"
"MIR4746",2.98596585331235,3.18093790880169,0,4.77256679030553,0.553252032520325,"Confirmed",2,"MIR4746"
"TINCR",2.98249494393073,3.17107499175655,0,5.3059658503936,0.547967479674797,"Confirmed",2,"TINCR"
"FUT3...26",2.98381182187747,3.17665277641908,-1.00100150250438,4.84225665012267,0.554878048780488,"Confirmed",2,"FUT3"
"VAV1",2.97878735577924,3.16762527088187,0,5.02441974276734,0.551626016260163,"Confirmed",2,"VAV1"
"MBD3L2",2.99621401219029,3.18599629533797,0,4.76880025759681,0.559756097560976,"Confirmed",2,"MBD3L2"
"LogIC50...29",5.81887072124519,6.20925642039088,0,7.92254165278085,0.923384676935387,"Confirmed",3,"LogIC50"
"IC50...30",5.77588854756807,6.16981993160314,0,7.82314446278074,0.923584716943389,"Confirmed",3,"IC50"
"LogIC50...31",5.97588225770873,6.37634481737384,0,8.22081392071136,0.928385677135427,"Confirmed",4,"LogIC50"
"IC50...32",5.93705001260868,6.33300234254509,0,8.25381305484731,0.928385677135427,"Confirmed",4,"IC50"
"CKMT1A...33",3.82642789097059,4.07715668164557,0,5.98366252665155,0.730546109221844,"Confirmed",4,"CKMT1A"
"HCN2",2.91022387200954,3.09040870840881,-1.00100150250438,4.65698050998639,0.532306461292258,"Confirmed",4,"HCN2"
"ELANE",2.91584911059446,3.10351360665777,0,4.76538046163796,0.534906981396279,"Confirmed",4,"ELANE"
"NDUFS7",2.90974131727583,3.09071656330544,-1.00100150250438,4.78656866681949,0.53250650130026,"Confirmed",4,"NDUFS7"
"AP3D1",2.9188048086003,3.09129647925709,-1.00100150250438,4.74231091548681,0.539107821564313,"Confirmed",4,"AP3D1"
"LMNB2",2.91396725192811,3.09855676706122,0,4.67675927581982,0.537307461492298,"Confirmed",4,"LMNB2"
"MFSD12",2.91615499427859,3.08990322227221,0,4.59926598922508,0.536107221444289,"Confirmed",4,"MFSD12"
"MPND",2.91667111887028,3.09274332904182,0,4.77927983934299,0.533506701340268,"Confirmed",4,"MPND"
"UBXN6...41",2.9113942184592,3.0939558792015,0,4.60383279701804,0.536907381476295,"Confirmed",4,"UBXN6"
"LRG1",2.91279651343295,3.09547800338172,-1.00100150250438,4.65511472784308,0.533906781356271,"Confirmed",4,"LRG1"
