"","Variable","Count"
"1","ACER1",2
"2","ADGRE4P",1
"3","AP3D1",1
"4","ARHGEF18",1
"5","ATCAY",1
"6","BSG",1
"7","C19orf25",1
"8","CATSPERD",2
"9","CIRBP.AS1",1
"10","CKMT1A",3
"11","CNN2",1
"12","DOHH",1
"13","DUS3L",1
"14","EBI3",1
"15","ELANE",1
"16","FUT3",2
"17","GADD45B",1
"18","GNG7",1
"19","HCN2",1
"20","IC50",9
"21","KLF16",1
"22","LMNB2",1
"23","LogIC50",8
"24","LRG1",1
"25","MADCAM1",1
"26","MBD3L2",1
"27","MFSD12",1
"28","MIR4321",1
"29","MIR4746",1
"30","MIR4747",1
"31","MIR6885",1
"32","MIR7108",1
"33","MIR7850",1
"34","MISP",1
"35","MPND",1
"36","NCLN",1
"37","NDUFS7",1
"38","PLIN3",1
"39","PLK5",1
"40","PLPPR3",1
"41","POLR2E",1
"42","REXO1",1
"43","RPS15",1
"44","SF3A2",2
"45","SIRT6",1
"46","SLC25A41",1
"47","SNORD37",1
"48","STRC",1
"49","TINCR",1
"50","TJP3",1
"51","TNFSF14",2
"52","TUBB4A",1
"53","UBXN6",2
"54","VAV1",1
"55","WDR18",2
"56","YJU2",1
"57","ZNF555",1
