"","meanImp","medianImp","minImp","maxImp","normHits","decision","Execution","Variable"
"LogIC50...1",8.12502628916431,8.62588031227813,0,10.8822174214497,0.949416342412451,"Confirmed",1,"LogIC50"
"IC50...2",8.12663822934237,8.68581931037804,0,10.5336593350859,0.941634241245136,"Confirmed",1,"IC50"
"PIAS4...3",6.76415349300725,7.23372443756141,0,9.43511428149814,0.90272373540856,"Confirmed",1,"PIAS4"
"LogIC50...4",8.2156943958667,8.92068477976305,0,10.7349374027319,0.924892703862661,"Confirmed",2,"LogIC50"
"IC50...5",8.19995665139513,8.98151708281182,0,10.7295270799033,0.920600858369099,"Confirmed",2,"IC50"
"PIAS4...6",6.87896107296748,7.48584879865952,0,9.65848891663944,0.890557939914163,"Confirmed",2,"PIAS4"
"LogIC50...7",8.51542272592999,8.97299940611409,0,10.9883898715062,0.946882217090069,"Confirmed",3,"LogIC50"
"IC50...8",8.54276602608404,9.05412075872199,0,10.7646900176597,0.946882217090069,"Confirmed",3,"IC50"
"PIAS4...9",7.06955191951385,7.4870198811361,0,9.42810921847109,0.912240184757506,"Confirmed",3,"PIAS4"
"LogIC50...10",8.19234454325092,8.90770150814516,0,10.6545312939119,0.932203389830508,"Confirmed",4,"LogIC50"
"IC50...11",8.23336474005635,8.93921425245779,0,10.7912796409981,0.936440677966102,"Confirmed",4,"IC50"
"PIAS4...12",6.71057541003031,7.329748525887,0,9.06800528125544,0.894067796610169,"Confirmed",4,"PIAS4"
"LogIC50...13",8.32529494335775,9.09165314054364,0,10.7086586082109,0.920529801324503,"Confirmed",5,"LogIC50"
"IC50...14",8.28120066678829,9.03722738233599,0,10.7431325480098,0.909492273730684,"Confirmed",5,"IC50"
"PIAS4...15",6.82605777228719,7.41249921514896,0,9.08420110674264,0.876379690949227,"Confirmed",5,"PIAS4"
"LogIC50...16",8.33551948061141,9.02765991755089,0,10.7741648153334,0.93,"Confirmed",6,"LogIC50"
"IC50...17",8.3227123096327,9.01123659877494,0,10.6665326339918,0.935,"Confirmed",6,"IC50"
"PIAS4...18",6.96947062052507,7.51726242069168,0,9.24640465452719,0.89,"Confirmed",6,"PIAS4"
"LogIC50...19",8.04736545780312,8.86678032009904,0,10.7410389487713,0.914675767918089,"Confirmed",7,"LogIC50"
"IC50...20",7.97623705154171,8.81604222834647,0,10.379949941494,0.904436860068259,"Confirmed",7,"IC50"
"PIAS4...21",6.70757065055966,7.38640225893953,0,9.1185328549629,0.880546075085324,"Confirmed",7,"PIAS4"
"LogIC50...22",8.2509805725273,8.76668617504318,0,10.7136863895062,0.944117647058824,"Confirmed",8,"LogIC50"
"IC50...23",8.21790110799083,8.74222815740045,0,10.4126573415565,0.944117647058824,"Confirmed",8,"IC50"
"PIAS4...24",6.94676469328047,7.41631556936931,0,9.08979597447354,0.908823529411765,"Confirmed",8,"PIAS4"
"LogIC50...25",7.62277622945987,8.42552520657021,0,10.8349223934434,0.906077348066298,"Confirmed",9,"LogIC50"
"IC50...26",7.61376515061326,8.47537665746604,0,10.5869557497392,0.889502762430939,"Confirmed",9,"IC50"
"PIAS4...27",6.42350270365909,7.12268040181902,0,8.93364567247443,0.867403314917127,"Confirmed",9,"PIAS4"
"LogIC50...28",7.97028237513806,8.59756070164561,0,9.82279584089699,0.947867298578199,"Confirmed",10,"LogIC50"
"IC50...29",7.97599471854811,8.52880481939835,0,10.1357598245853,0.947867298578199,"Confirmed",10,"IC50"
"PIAS4...30",6.70671158786336,7.1640992012016,0,8.7239613272659,0.914691943127962,"Confirmed",10,"PIAS4"
