"","meanImp","medianImp","minImp","maxImp","normHits","decision","Execution","Variable"
"LogIC50...1",8.09119830714941,8.6892782609946,0,10.5083937871388,0.929859719438878,"Confirmed",1,"LogIC50"
"IC50...2",8.0782508265153,8.65478678413146,0,10.5957573998276,0.93186372745491,"Confirmed",1,"IC50"
"PIAS4...3",4.44544636543949,4.73431328812488,0,6.63777185850757,0.729458917835671,"Confirmed",1,"PIAS4"
"LogIC50...4",8.21106565649692,8.71029227158813,0,10.7476782061038,0.940298507462687,"Confirmed",2,"LogIC50"
"IC50...5",8.15353955123428,8.65888947688035,0,10.1089388039954,0.942786069651741,"Confirmed",2,"IC50"
"PIAS4...6",4.49655291974965,4.73852240246695,0,6.28476378783432,0.741293532338308,"Confirmed",2,"PIAS4"
"LogIC50...7",8.17064769279212,8.61229721548393,0,10.3438482415448,0.949899799599198,"Confirmed",3,"LogIC50"
"IC50...8",8.14423987214318,8.60025611909698,0,10.5729923969574,0.949899799599198,"Confirmed",3,"IC50"
"PIAS4...9",4.49253087045496,4.70978948209422,0,6.44200374226528,0.739478957915832,"Confirmed",3,"PIAS4"
"LogIC50...10",7.96640630559914,8.74535530194525,0,10.4361468300043,0.916083916083916,"Confirmed",4,"LogIC50"
"IC50...11",7.92797867538651,8.67673487338645,0,10.3249157236448,0.91958041958042,"Confirmed",4,"IC50"
"PIAS4...12",4.3539253252701,4.78531247204453,0,6.29159199776832,0.716783216783217,"Confirmed",4,"PIAS4"
"LogIC50...13",7.98162120430659,8.69335009576579,0,10.3382222443626,0.927860696517413,"Confirmed",5,"LogIC50"
"IC50...14",7.92890492710758,8.5695232907474,0,10.4291708052865,0.927860696517413,"Confirmed",5,"IC50"
"PIAS4...15",4.35322739397449,4.6693928824518,0,6.8694855172037,0.756218905472637,"Confirmed",5,"PIAS4"
"LogIC50...16",8.08238427234198,8.71664131593114,0,10.1735586778364,0.93186372745491,"Confirmed",6,"LogIC50"
"IC50...17",8.03203257374449,8.64064383867867,0,10.3427472846263,0.929859719438878,"Confirmed",6,"IC50"
"PIAS4...18",4.3825765047467,4.72570257029044,0,6.45770603087614,0.755511022044088,"Confirmed",6,"PIAS4"
"LogIC50...19",7.96206781487983,8.66041978605349,0,10.2089171900808,0.926315789473684,"Confirmed",7,"LogIC50"
"IC50...20",7.98299274316906,8.65414558193551,0,10.227170627186,0.926315789473684,"Confirmed",7,"IC50"
"PIAS4...21",4.37742425537362,4.71823200221553,0,6.43826078276965,0.728947368421053,"Confirmed",7,"PIAS4"
"LogIC50...22",8.10150533829974,8.68506143131817,0,10.3444392077168,0.939252336448598,"Confirmed",8,"LogIC50"
"IC50...23",8.07169514962003,8.62751305241657,0,10.4980180265555,0.939252336448598,"Confirmed",8,"IC50"
"PIAS4...24",4.42525787228061,4.72545860076114,0,6.13844357289109,0.733644859813084,"Confirmed",8,"PIAS4"
"LogIC50...25",8.20695833851118,8.65231347553753,0,10.7297613217243,0.953878406708595,"Confirmed",9,"LogIC50"
"IC50...26",8.23134825672739,8.66363234702296,0,10.3653052488383,0.953878406708595,"Confirmed",9,"IC50"
"PIAS4...27",4.53481602579706,4.75941210667891,0,6.77723829647821,0.763102725366876,"Confirmed",9,"PIAS4"
"LogIC50...28",7.93897882304477,8.62616690485278,0,11.1996449886316,0.924489795918367,"Confirmed",10,"LogIC50"
"IC50...29",7.93331595562042,8.61600256439944,0,10.6404876969121,0.920408163265306,"Confirmed",10,"IC50"
"PIAS4...30",4.35171497435324,4.71130379524116,0,6.30878695565963,0.73469387755102,"Confirmed",10,"PIAS4"
