"","meanImp","medianImp","minImp","maxImp","normHits","decision","Execution","Variable"
"LogIC50...1",9.85091620312362,9.93972153041677,0,12.0688892689402,0.990398079615923,"Confirmed",1,"LogIC50"
"IC50...2",9.97758035846647,10.0668843622684,0,12.406612789056,0.989597919583917,"Confirmed",1,"IC50"
"NOTCH2...3",5.37923007282196,5.43758018452828,0,7.30778438019946,0.912982596519304,"Confirmed",1,"NOTCH2"
"ARHGEF10...4",5.44892194804926,5.53169820205382,0,7.78315994648192,0.914382876575315,"Confirmed",1,"ARHGEF10"
"LogIC50...5",9.19116952849972,9.31337086914877,0,11.2421367300854,0.988505747126437,"Confirmed",2,"LogIC50"
"IC50...6",9.28134618852093,9.41557293151646,0,11.4038476035203,0.989463601532567,"Confirmed",2,"IC50"
"NOTCH2...7",5.35004173409744,5.41508166916498,0,7.18273147990158,0.900383141762452,"Confirmed",2,"NOTCH2"
"ARHGEF10...8",5.42176847316218,5.50338538372834,0,7.25796102706971,0.906130268199234,"Confirmed",2,"ARHGEF10"
"CARS...9",2.73715760748695,2.84305707064186,0,4.5554106648602,0.60632183908046,"Confirmed",2,"CARS"
"LogIC50...10",9.10499168367118,9.22575511232287,0,11.4429507957917,0.984499286151336,"Confirmed",3,"LogIC50"
"IC50...11",9.30716936722339,9.43468218189413,0,12.0409037492343,0.985111156434836,"Confirmed",3,"IC50"
"NOTCH2...12",5.37378535955085,5.46736142827018,0,7.78527876341634,0.902916581684683,"Confirmed",3,"NOTCH2"
"ARHGEF10...13",5.42031990398976,5.50362913199459,0,7.57970856278905,0.908015500713849,"Confirmed",3,"ARHGEF10"
"ABI1...14",2.99408938948337,3.07337132637601,-1.00100150250438,5.25110982713514,0.679176014684887,"Confirmed",3,"ABI1"
"LogIC50...15",8.913492572623,9.01712951664132,0,11.309022369921,0.986597319463893,"Confirmed",4,"LogIC50"
"IC50...16",8.9590689885736,9.06331574404583,0,11.3127712641739,0.987597519503901,"Confirmed",4,"IC50"
"MUC6...17",2.65063202893347,2.73395445428442,-1.23554194554242,4.56817760389171,0.540708141628326,"Confirmed",4,"MUC6"
"NOTCH2...18",5.33429819740982,5.40108048623632,0,7.50018098740855,0.914582916583317,"Confirmed",4,"NOTCH2"
"ARHGEF10...19",5.41522941216171,5.48484731993379,0,7.69298587606253,0.920984196839368,"Confirmed",4,"ARHGEF10"
"CARS...20",2.64412516223485,2.708080970862,-0.566109694681876,4.9710589397434,0.544108821764353,"Confirmed",4,"CARS"
"LogIC50...21",9.72827390696945,9.84526286536393,0,11.9135583444578,0.989934050676848,"Confirmed",5,"LogIC50"
"IC50...22",9.91987759797277,10.0228414135571,0,12.1299600711792,0.98958694897605,"Confirmed",5,"IC50"
"TENT5C...23",1.75447138009576,1.82520788460638,-1.90214384881053,4.45774139060137,0.535577924331829,"Confirmed",5,"TENT5C"
"NOTCH2...24",5.38244389810195,5.44931350314746,0,7.66477352019317,0.905935439083651,"Confirmed",5,"NOTCH2"
"ARHGEF10...25",5.42637700606787,5.49627369176226,0,7.27377639797421,0.908712252690038,"Confirmed",5,"ARHGEF10"
"LogIC50...26",9.66921700333934,9.79259326566107,0,11.9709916019327,0.987155472303987,"Confirmed",6,"LogIC50"
"IC50...27",9.84445256868857,9.97789819526462,0,12.2060725113547,0.986887877976987,"Confirmed",6,"IC50"
"TENT5C...28",1.7482798099515,1.82338416303956,-1.66834088794702,4.55168520239274,0.531174739095531,"Confirmed",6,"TENT5C"
"NOTCH2...29",5.37820781885629,5.4512703565415,0,7.52963581530902,0.906609579876907,"Confirmed",6,"NOTCH2"
"ARHGEF10...30",5.42980666348367,5.52226032577566,0,7.53199781809765,0.913834626705914,"Confirmed",6,"ARHGEF10"
"LogIC50...31",9.13959206395918,9.22489491960211,0,11.3776025920118,0.987197439487898,"Confirmed",7,"LogIC50"
"IC50...32",9.31442765300257,9.43066947055793,0,11.2449163023947,0.987597519503901,"Confirmed",7,"IC50"
"NOTCH2...33",5.46145357581428,5.53378710699862,0,7.92168741280085,0.913982796559312,"Confirmed",7,"NOTCH2"
"ARHGEF10...34",5.39351834630571,5.46706494634924,0,7.70966734091936,0.914382876575315,"Confirmed",7,"ARHGEF10"
"ABI1...35",2.91026720872789,2.98049410201527,-1.08995467245257,4.97605155270848,0.673334666933387,"Confirmed",7,"ABI1"
"LogIC50...36",9.85876549338101,9.97275129214054,0,11.7632938061784,0.989382239382239,"Confirmed",8,"LogIC50"
