"","meanImp","medianImp","minImp","maxImp","normHits","decision","Execution","Variable"
"LogIC50...1",10.713921416246,10.8428113621433,0,13.3465256019623,0.98999799959992,"Confirmed",1,"LogIC50"
"IC50...2",10.6175989036225,10.7493270409478,0,13.092651108503,0.98999799959992,"Confirmed",1,"IC50"
"PBRM1...3",3.17505428334777,3.23627912526107,-1.00100150250438,5.43971068954558,0.605121024204841,"Confirmed",1,"PBRM1"
"LogIC50...4",10.6873108947945,10.8237626985556,0,12.9073579660105,0.988197639527906,"Confirmed",2,"LogIC50"
"IC50...5",10.5918172015715,10.7111495365738,0,13.0225254816431,0.987997599519904,"Confirmed",2,"IC50"
"PBRM1...6",3.18301786967016,3.24786573983702,-1.00100150250438,5.56467889296805,0.602120424084817,"Confirmed",2,"PBRM1"
"LogIC50...7",10.6485123841262,10.766797661747,0,13.0802080101348,0.990523572613125,"Confirmed",3,"LogIC50"
"IC50...8",10.5779582210059,10.6936023228183,0,12.9476152241869,0.990286661928453,"Confirmed",3,"IC50"
"PBRM1...9",3.16462232356706,3.2024541745342,0,5.37280256381947,0.5939350864724,"Confirmed",3,"PBRM1"
"LogIC50...10",10.6317228201867,10.7696853974936,0,13.1290926890625,0.987997599519904,"Confirmed",4,"LogIC50"
"IC50...11",10.5845967860616,10.7013407396154,0,13.1878243235418,0.987597519503901,"Confirmed",4,"IC50"
"LogIC50...12",10.660892453314,10.7928279688725,0,13.2104909748817,0.989397879575915,"Confirmed",5,"LogIC50"
"IC50...13",10.6028024051511,10.7319425079087,0,13.1480624921608,0.988397679535907,"Confirmed",5,"IC50"
"LogIC50...14",10.6949368481768,10.8242543559737,0,13.0238659903302,0.988953605141595,"Confirmed",6,"LogIC50"
"IC50...15",10.6052630208795,10.7467771534196,0,13.2220375539333,0.988752761598715,"Confirmed",6,"IC50"
"PBRM1...16",3.1762679671098,3.2386889870915,-0.318243223151098,5.35601232550784,0.601325567383009,"Confirmed",6,"PBRM1"
"LogIC50...17",10.6849637389625,10.8062407792826,0,12.9843281258567,0.989995553579369,"Confirmed",7,"LogIC50"
"IC50...18",10.5903001175084,10.711432117244,0,13.1670863192424,0.989995553579369,"Confirmed",7,"IC50"
"PBRM1...19",3.17543914366511,3.24321160837522,-0.0325731516596138,5.56045045172795,0.586927523343708,"Confirmed",7,"PBRM1"
"LogIC50...20",10.7088403308195,10.8242212020794,0,13.1461566241705,0.990198039607922,"Confirmed",8,"LogIC50"
"IC50...21",10.6442246202813,10.7636528718604,0,13.1196204382187,0.98999799959992,"Confirmed",8,"IC50"
"PBRM1...22",3.20015610406739,3.26674570480923,-1.00100150250438,5.26579030510341,0.612322464492899,"Confirmed",8,"PBRM1"
"LogIC50...23",10.6888162702977,10.7890780159596,0,12.8780183204111,0.990798159631926,"Confirmed",9,"LogIC50"
"IC50...24",10.6447516948951,10.75707662455,0,13.2218229753427,0.988997799559912,"Confirmed",9,"IC50"
"LogIC50...25",10.664880209463,10.7853751142386,0,13.4665098963999,0.988597719543909,"Confirmed",10,"LogIC50"
"IC50...26",10.6003561304574,10.7172569459409,0,12.8837060437912,0.988597719543909,"Confirmed",10,"IC50"
