"","meanImp","medianImp","minImp","maxImp","normHits","decision","Execution","Variable"
"LogIC50...1",10.7043135487026,10.8226155176764,0,13.0212727877496,0.989797959591918,"Confirmed",1,"LogIC50"
"IC50...2",10.6217581939031,10.7418445881417,0,13.0085668717248,0.989797959591918,"Confirmed",1,"IC50"
"PBRM1...3",3.19020077323033,3.25848784038904,-0.288605332701018,5.1577223337059,0.603520704140828,"Confirmed",1,"PBRM1"
"LogIC50...4",10.696386220401,10.818685931572,0,13.0408386876947,0.988597719543909,"Confirmed",2,"LogIC50"
"IC50...5",10.6370465798987,10.753841598575,0,13.1467101965372,0.987597519503901,"Confirmed",2,"IC50"
"LogIC50...6",10.6650316931169,10.7971834643502,0,12.9816459730832,0.98992673992674,"Confirmed",3,"LogIC50"
"IC50...7",10.5764189109359,10.7080290565357,0,13.0063190766493,0.989468864468865,"Confirmed",3,"IC50"
"PBRM1...8",3.17959678883735,3.25046160676595,0,5.62536288501522,0.590888278388278,"Confirmed",3,"PBRM1"
"LogIC50...9",10.6445689616386,10.7903430456235,0,13.6076438908137,0.987997599519904,"Confirmed",4,"LogIC50"
"IC50...10",10.6055626340714,10.7401869504744,0,13.4804489208085,0.986597319463893,"Confirmed",4,"IC50"
"LogIC50...11",10.6652512014714,10.7829360984561,0,13.0348158749711,0.98879775955191,"Confirmed",5,"LogIC50"
"IC50...12",10.6182974050873,10.7500192422504,0,13.2618378648513,0.988197639527906,"Confirmed",5,"IC50"
"LogIC50...13",10.6369097847973,10.7919387295319,0,13.2173723095057,0.987397479495899,"Confirmed",6,"LogIC50"
"IC50...14",10.5891644745625,10.7245054211376,0,13.249584725428,0.986797359471894,"Confirmed",6,"IC50"
"LogIC50...15",10.6916306789996,10.8443380028931,0,13.4670040141492,0.988197639527906,"Confirmed",7,"LogIC50"
"IC50...16",10.5877838849165,10.7383606267171,0,12.7185431477869,0.988197639527906,"Confirmed",7,"IC50"
"PBRM1...17",3.17782167525371,3.25129618355992,-0.200577043970442,5.29248521173828,0.611922384476895,"Confirmed",7,"PBRM1"
"LogIC50...18",10.6383635988232,10.7951425342308,0,12.9844337412166,0.98379675935187,"Confirmed",8,"LogIC50"
"IC50...19",10.6065349684749,10.765587462114,0,12.9933472335233,0.98499699939988,"Confirmed",8,"IC50"
"LogIC50...20",10.8149630477759,10.9539248355781,0,13.240317464231,0.988197639527906,"Confirmed",9,"LogIC50"
"IC50...21",10.7841025960155,10.9262314779254,0,13.3827664281081,0.988597719543909,"Confirmed",9,"IC50"
"PBRM1...22",3.25950959043581,3.3206538352876,-1.00100150250438,5.30730707397737,0.691938387677535,"Confirmed",9,"PBRM1"
"LogIC50...23",10.6521828618176,10.7972212857066,0,13.2528668025966,0.98748921484038,"Confirmed",10,"LogIC50"
"IC50...24",10.5573458406575,10.6935443078415,0,13.1468191494569,0.987057808455565,"Confirmed",10,"IC50"
"PBRM1...25",3.17472079043746,3.24648563201988,-0.910128512495081,5.34365683941905,0.595340811044003,"Confirmed",10,"PBRM1"
