"","gene_symbols","IST-MES1","MPP-89","MSTO-211H","NCI-H2052","NCI-H226","NCI-H2369","NCI-H2373","NCI-H2452","NCI-H2461","NCI-H2591","NCI-H2595","NCI-H2722","NCI-H2731","NCI-H2795","NCI-H28","NCI-H2803","NCI-H2804","NCI-H2810","NCI-H2818","NCI-H2869","NCI-H290"
"1","A1BG","4.0","2.0","4.0","4.0","3.0","2.0","2.0","2.0","4.0","2.0","3.0","4.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","3.0"
"2","A1CF","2.0","2.0","3.0","4.0","2.0","4.0","2.0","4.0","4.0","2.0","2.0","5.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","3.0"
"3","A2M","3.0","2.0","4.0","4.0","2.0","3.0","1.0","4.0","3.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","4.0","3.0","4.0","1.0","2.0"
"4","A2ML1","3.0","2.0","4.0","4.0","2.0","3.0","1.0","4.0","3.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","4.0","3.0","4.0","1.0","4.0"
"5","A2ML1-AS1","3.0","2.0","4.0","4.0","2.0","3.0","1.0","4.0","3.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","4.0","3.0","4.0","1.0","4.0"
"6","A2ML1-AS2","3.0","2.0","4.0","4.0","2.0","3.0","1.0","4.0","3.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","4.0","3.0","4.0","1.0","4.0"
"7","A3GALT2","3.0","2.0","3.0","3.0","2.0","4.0","1.0","4.0","4.0","2.0","4.0","5.0","2.0","2.0","4.0","2.0","3.0","3.0","4.0","1.0","3.0"
"8","A4GALT","2.0","2.0","2.0","3.0","1.0","3.0","1.0","2.0","3.0","1.0","2.0","2.0","2.0","2.0","4.0","1.0","2.0","2.0","2.0","1.0","2.0"
"9","A4GNT","4.0","2.0","4.0","4.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","2.0","4.0","1.0","3.0"
"10","AAAS","3.0","2.0","4.0","4.0","3.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","4.0","1.0","4.0","3.0","4.0","2.0","4.0"
"11","AACS","3.0","2.0","4.0","4.0","2.0","6.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"12","AACSP1","4.0","2.0","4.0","4.0","2.0","4.0","1.0","4.0","6.0","2.0","4.0","4.0","3.0","2.0","5.0","2.0","4.0","4.0","4.0","2.0","3.0"
"13","AADAC","2.0","2.0","4.0","4.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","2.0","4.0","1.0","3.0"
"14","AADACL2","2.0","2.0","4.0","4.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","2.0","4.0","1.0","3.0"
"15","AADACL3","2.0","2.0","3.0","3.0","2.0","4.0","1.0","4.0","4.0","1.0","3.0","2.0","2.0","1.0","2.0","1.0","3.0","3.0","2.0","1.0","2.0"
"16","AADACL4","2.0","2.0","3.0","3.0","2.0","4.0","1.0","4.0","4.0","1.0","3.0","2.0","2.0","1.0","2.0","1.0","3.0","3.0","2.0","1.0","2.0"
"17","AADAT","3.0","2.0","4.0","3.0","2.0","4.0","2.0","2.0","5.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","1.0","3.0"
"18","AAED1","3.0","3.0","4.0","4.0","2.0","4.0","2.0","2.0","6.0","2.0","3.0","4.0","3.0","2.0","5.0","1.0","4.0","4.0","4.0","2.0","4.0"
"19","AAGAB","3.0","2.0","3.0","3.0","3.0","4.0","2.0","4.0","5.0","3.0","3.0","4.0","2.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","3.0"
"20","AAK1","4.0","3.0","4.0","6.0","2.0","3.0","2.0","4.0","5.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","2.0","3.0","2.0","4.0"
"21","AAMDC","3.0","1.0","3.0","5.0","2.0","4.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","3.0","2.0","3.0","4.0","4.0","2.0","3.0"
"22","AAMP","4.0","1.0","4.0","4.0","1.0","3.0","2.0","2.0","5.0","2.0","3.0","4.0","3.0","2.0","5.0","1.0","4.0","3.0","4.0","2.0","3.0"
"23","AANAT","4.0","2.0","4.0","5.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","4.0","3.0","3.0","5.0","2.0","4.0","3.0","4.0","2.0","4.0"
"24","AAR2","4.0","4.0","3.0","6.0","2.0","4.0","2.0","4.0","6.0","2.0","2.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","4.0"
"25","AARD","4.0","3.0","3.0","7.0","2.0","4.0","2.0","3.0","6.0","2.0","4.0","4.0","3.0","3.0","3.0","1.0","6.0","4.0","3.0","2.0","4.0"
"26","AARS","3.0","2.0","6.0","4.0","2.0","3.0","2.0","4.0","6.0","2.0","3.0","2.0","2.0","2.0","3.0","2.0","4.0","3.0","4.0","1.0","4.0"
"27","AARS2","4.0","3.0","3.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","3.0"
"28","AARSD1","4.0","2.0","4.0","4.0","2.0","4.0","2.0","3.0","6.0","2.0","4.0","4.0","3.0","3.0","4.0","2.0","4.0","4.0","4.0","2.0","4.0"
"29","AASDH","1.0","2.0","4.0","4.0","2.0","4.0","1.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","1.0","2.0"
"30","AASDHPPT","3.0","1.0","3.0","5.0","2.0","4.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","1.0","3.0","2.0","3.0","4.0","4.0","2.0","3.0"
"31","AASS","4.0","2.0","4.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","5.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"32","AATF","4.0","2.0","4.0","4.0","2.0","4.0","2.0","3.0","4.0","2.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","3.0"
"33","AATK","4.0","2.0","4.0","4.0","2.0","4.0","2.0","3.0","6.0","2.0","3.0","4.0","3.0","3.0","5.0","2.0","4.0","3.0","4.0","2.0","4.0"
"34","ABAT","3.0","2.0","4.0","4.0","2.0","3.0","2.0","3.0","5.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"35","ABCA1","3.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","5.0","1.0","4.0","4.0","4.0","2.0","4.0"
"36","ABCA2","3.0","3.0","4.0","4.0","2.0","4.0","2.0","4.0","5.0","2.0","3.0","4.0","3.0","2.0","5.0","1.0","4.0","3.0","4.0","2.0","3.0"
"37","ABCA3","3.0","2.0","4.0","4.0","2.0","3.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"38","ABCA4","3.0","2.0","4.0","3.0","2.0","2.0","1.0","2.0","3.0","1.0","3.0","4.0","2.0","2.0","5.0","1.0","3.0","3.0","4.0","1.0","2.0"
"39","ABCA5","4.0","2.0","4.0","5.0","2.0","4.0","2.0","3.0","6.0","2.0","4.0","4.0","3.0","3.0","6.0","2.0","4.0","4.0","4.0","2.0","4.0"
"40","ABCA6","4.0","2.0","4.0","5.0","2.0","4.0","2.0","3.0","6.0","2.0","4.0","4.0","3.0","3.0","6.0","2.0","4.0","4.0","4.0","2.0","4.0"
"41","ABCA7","4.0","2.0","3.0","3.0","2.0","2.0","2.0","4.0","4.0","1.0","2.0","4.0","3.0","1.0","3.0","2.0","2.0","3.0","4.0","2.0","3.0"
"42","ABCA8","4.0","2.0","4.0","5.0","2.0","4.0","2.0","3.0","6.0","2.0","4.0","4.0","3.0","3.0","6.0","2.0","4.0","4.0","4.0","2.0","4.0"
"43","ABCA9","4.0","2.0","4.0","5.0","2.0","4.0","2.0","3.0","6.0","2.0","4.0","4.0","3.0","3.0","6.0","2.0","4.0","4.0","4.0","2.0","4.0"
"44","ABCA9-AS1","4.0","2.0","4.0","5.0","2.0","4.0","2.0","3.0","6.0","2.0","4.0","4.0","3.0","3.0","6.0","2.0","4.0","4.0","4.0","2.0","4.0"
"45","ABCA10","4.0","2.0","4.0","5.0","2.0","4.0","2.0","3.0","6.0","2.0","4.0","4.0","3.0","3.0","6.0","2.0","4.0","4.0","4.0","2.0","4.0"
"46","ABCA11P","3.0","2.0","4.0","4.0","2.0","3.0","1.0","4.0","3.0","2.0","3.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","1.0","3.0"
"47","ABCA12","4.0","1.0","2.0","4.0","1.0","3.0","2.0","2.0","5.0","2.0","3.0","4.0","3.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","3.0"
"48","ABCA13","4.0","2.0","4.0","3.0","2.0","7.0","2.0","4.0","9.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","3.0","4.0"
"49","ABCA17P","3.0","2.0","4.0","4.0","2.0","3.0","2.0","4.0","4.0","2.0","3.0","4.0","2.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"50","ABCB1","4.0","2.0","4.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","5.0","4.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"51","ABCB4","4.0","2.0","4.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","5.0","4.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"52","ABCB5","4.0","2.0","4.0","3.0","3.0","6.0","2.0","4.0","9.0","2.0","4.0","4.0","4.0","3.0","4.0","1.0","4.0","4.0","4.0","3.0","4.0"
"53","ABCB6","4.0","1.0","4.0","4.0","2.0","3.0","2.0","2.0","5.0","2.0","3.0","4.0","3.0","2.0","5.0","1.0","4.0","3.0","4.0","2.0","3.0"
"54","ABCB7","4.0","1.0","2.0","3.0","1.0","2.0","1.0","2.0","2.0","1.0","2.0","2.0","1.0","1.0","2.0","1.0","2.0","2.0","2.0","1.0","2.0"
"55","ABCB8","4.0","2.0","4.0","2.0","2.0","2.0","2.0","4.0","5.0","2.0","4.0","4.0","3.0","1.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"56","ABCB9","3.0","2.0","4.0","4.0","2.0","6.0","2.0","4.0","6.0","2.0","3.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","4.0"
"57","ABCB10","3.0","3.0","3.0","4.0","1.0","4.0","2.0","3.0","6.0","2.0","3.0","4.0","2.0","2.0","5.0","2.0","5.0","3.0","4.0","3.0","4.0"
"58","ABCB11","4.0","2.0","4.0","4.0","2.0","3.0","2.0","3.0","5.0","2.0","3.0","4.0","3.0","2.0","5.0","2.0","3.0","3.0","4.0","2.0","2.0"
"59","ABCC1","3.0","2.0","3.0","4.0","2.0","3.0","2.0","3.0","5.0","2.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"60","ABCC2","3.0","2.0","2.0","4.0","2.0","4.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","1.0","4.0","2.0","2.0","3.0","4.0","2.0","3.0"
"61","ABCC3","4.0","2.0","4.0","4.0","2.0","4.0","2.0","5.0","6.0","2.0","4.0","4.0","3.0","3.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0"
"62","ABCC4","4.0","3.0","3.0","6.0","2.0","2.0","2.0","2.0","4.0","2.0","3.0","2.0","2.0","2.0","4.0","2.0","3.0","2.0","2.0","2.0","3.0"
"63","ABCC5","4.0","2.0","4.0","4.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","1.0","3.0"
"64","ABCC6","3.0","2.0","3.0","4.0","2.0","3.0","2.0","3.0","5.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"65","ABCC6P2","3.0","2.0","3.0","4.0","2.0","3.0","2.0","3.0","5.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"66","ABCC8","3.0","2.0","3.0","5.0","2.0","4.0","2.0","4.0","4.0","2.0","2.0","4.0","2.0","2.0","3.0","2.0","3.0","4.0","4.0","1.0","3.0"
"67","ABCC9","3.0","2.0","4.0","4.0","2.0","5.0","1.0","4.0","3.0","2.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","1.0","4.0"
"68","ABCC10","4.0","3.0","3.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","3.0"
"69","ABCC11","3.0","2.0","6.0","4.0","2.0","3.0","2.0","4.0","6.0","2.0","3.0","2.0","2.0","2.0","3.0","2.0","4.0","3.0","4.0","1.0","4.0"
"70","ABCC12","3.0","2.0","6.0","4.0","2.0","3.0","2.0","4.0","6.0","2.0","3.0","2.0","2.0","2.0","3.0","2.0","4.0","3.0","4.0","1.0","4.0"
"71","ABCC13","3.0","2.0","3.0","5.0","2.0","3.0","2.0","4.0","3.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","4.0"
"72","ABCD1","4.0","3.0","2.0","3.0","1.0","2.0","1.0","2.0","2.0","1.0","2.0","2.0","1.0","1.0","4.0","1.0","2.0","2.0","2.0","1.0","2.0"
"73","ABCD1P2","3.0","2.0","3.0","4.0","2.0","4.0","2.0","6.0","5.0","1.0","1.0","4.0","3.0","2.0","4.0","2.0","3.0","3.0","4.0","2.0","4.0"
"74","ABCD1P4","2.0","2.0","3.0","4.0","2.0","6.0","1.0","4.0","3.0","1.0","4.0","4.0","2.0","2.0","4.0","1.0","2.0","2.0","2.0","1.0","2.0"
"75","ABCD2","3.0","2.0","4.0","4.0","3.0","4.0","2.0","4.0","6.0","2.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"76","ABCD3","3.0","2.0","4.0","3.0","2.0","2.0","1.0","2.0","4.0","1.0","3.0","4.0","2.0","2.0","5.0","1.0","3.0","3.0","4.0","1.0","2.0"
"77","ABCD4","4.0","3.0","4.0","3.0","2.0","3.0","2.0","2.0","3.0","1.0","3.0","4.0","2.0","2.0","2.0","1.0","2.0","3.0","2.0","1.0","3.0"
"78","ABCE1","3.0","2.0","4.0","3.0","2.0","4.0","2.0","2.0","5.0","2.0","3.0","2.0","2.0","2.0","2.0","1.0","2.0","3.0","2.0","1.0","3.0"
"79","ABCF1","4.0","3.0","3.0","3.0","2.0","4.0","2.0","4.0","5.0","2.0","4.0","4.0","4.0","2.0","4.0","2.0","4.0","4.0","4.0","2.0","4.0"
"80","ABCF2","4.0","2.0","4.0","2.0","2.0","2.0","2.0","4.0","5.0","2.0","4.0","4.0","3.0","1.0","4.0","2.0","4.0","3.0","4.0","2.0","3.0"
"81","ABCF3","4.0","2.0","4.0","4.0","2.0","3.0","2.0","4.0","5.0","1.0","4.0","4.0","3.0","2.0","4.0","2.0","4.0","4.0","4.0","1.0","3.0"
