"","ATM","ATRIP","BABAM2","BLM","BRCA2","CDK12","CHEK2","DNA2","DNMT3A","EME2","ERCC4","FAAP20","FAAP24","FAAP100","FANCA","FANCC","FANCD2","FANCE","FANCG","FANCI","FANCL","FANCM","H2AFX","HELQ","KAT5","PALB2","PIAS4","POLN","POLQ","RAD9A","RAD17","RAD50","RAD51B","RAD52","RAD54B","RAD54L","RECQL","RECQL4","RMI2","RNF4","RNF168","RNF169","RPA2","SETMAR","SFPQ","SLX4","SMC3","SMC5","SPIDR","TIMELESS","WRN","XRCC2","XRCC3"
"IST-MES1","3.0","2.0","4.0","3.0","2.0","4.0","2.0","3.0","2.0","3.0","3.0","2.0","4.0","4.0","4.0","3.0","4.0","4.0","2.0","3.0","4.0","4.0","3.0","3.0","3.0","3.0","4.0","3.0","4.0","3.0","3.0","4.0","4.0","3.0","4.0","3.0","3.0","5.0","3.0","3.0","4.0","3.0","3.0","4.0","3.0","3.0","3.0","3.0","2.0","3.0","3.0","4.0","4.0"
"MPP-89","1.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","4.0","2.0","2.0","3.0","3.0","3.0","2.0","2.0","3.0","3.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","3.0","2.0","2.0","2.0","3.0","3.0","2.0","3.0","2.0","3.0"
"MSTO-211H","3.0","3.0","4.0","3.0","3.0","4.0","3.0","3.0","4.0","4.0","3.0","3.0","3.0","4.0","2.0","4.0","3.0","3.0","4.0","3.0","4.0","4.0","3.0","4.0","3.0","3.0","3.0","4.0","4.0","3.0","4.0","3.0","4.0","4.0","3.0","3.0","4.0","6.0","4.0","4.0","4.0","3.0","3.0","3.0","3.0","4.0","2.0","4.0","3.0","4.0","3.0","4.0","3.0"
"NCI-H2052","5.0","3.0","6.0","3.0","3.0","4.0","4.0","4.0","6.0","4.0","4.0","3.0","4.0","4.0","4.0","4.0","4.0","3.0","4.0","3.0","6.0","4.0","5.0","4.0","5.0","4.0","4.0","3.0","4.0","5.0","4.0","4.0","3.0","4.0","5.0","3.0","4.0","6.0","4.0","3.0","3.0","5.0","3.0","4.0","3.0","4.0","4.0","4.0","6.0","4.0","3.0","2.0","3.0"
"NCI-H226","2.0","2.0","2.0","3.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","3.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","2.0","2.0","2.0"
"NCI-H2369","4.0","2.0","3.0","4.0","2.0","4.0","3.0","4.0","3.0","3.0","3.0","4.0","4.0","4.0","3.0","4.0","3.0","4.0","2.0","4.0","3.0","3.0","3.0","4.0","4.0","3.0","4.0","3.0","3.0","4.0","4.0","4.0","3.0","3.0","4.0","4.0","5.0","4.0","3.0","3.0","3.0","4.0","4.0","3.0","4.0","3.0","4.0","4.0","4.0","4.0","4.0","2.0","3.0"
"NCI-H2373","1.0","2.0","2.0","2.0","1.0","1.0","1.0","2.0","2.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","1.0","2.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","2.0","1.0","2.0","2.0","1.0","2.0","2.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0"
"NCI-H2452","4.0","2.0","4.0","4.0","4.0","3.0","2.0","4.0","4.0","4.0","3.0","4.0","4.0","3.0","4.0","2.0","2.0","4.0","2.0","4.0","4.0","2.0","4.0","2.0","4.0","3.0","4.0","4.0","4.0","4.0","4.0","4.0","2.0","4.0","3.0","4.0","4.0","4.0","3.0","4.0","4.0","4.0","4.0","2.0","4.0","4.0","4.0","2.0","2.0","4.0","4.0","4.0","2.0"
"NCI-H2461","4.0","3.0","5.0","4.0","4.0","6.0","3.0","4.0","5.0","4.0","5.0","4.0","4.0","6.0","3.0","6.0","3.0","5.0","3.0","4.0","5.0","3.0","4.0","3.0","4.0","5.0","4.0","3.0","5.0","4.0","4.0","6.0","3.0","3.0","6.0","4.0","3.0","8.0","5.0","3.0","5.0","4.0","3.0","3.0","4.0","4.0","4.0","6.0","6.0","6.0","6.0","5.0","3.0"
"NCI-H2591","2.0","2.0","2.0","2.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","2.0","1.0","2.0","2.0","2.0","1.0","1.0","2.0","1.0","2.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0"
